Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
100 m²,,,4400000000,Đất thổ cư,2025-06-27
52 m²,4 PN,4 WC,6900000000,Nhà mặt tiền,2025-06-27
10 m²,,,0,"Nhà hẻm, ngõ",2025-06-27
75 m²,,,48500000000,Nhà mặt tiền,2025-06-27
41 m²,5 PN,5 WC,8350000000,Nhà mặt tiền,2025-06-27
35 m²,,,10800000000,Nhà mặt tiền,2025-06-27
1.045 m²,,,17500000000,Đất thổ cư,2025-06-27
44 m²,2 PN,2 WC,4400000000,"Nhà hẻm, ngõ",2025-06-27
380 m²,,,13800000000,Đất thổ cư,2025-06-27
80 m²,2 PN,2 WC,880000000,Nhà mặt tiền,2025-06-27
126 m²,,,19000000000,Nhà mặt tiền,2025-06-27
48 m²,2 PN,2 WC,3750000000,"Nhà hẻm, ngõ",2025-06-27
135 m²,2 PN,,12000000000,Nhà mặt tiền,2025-06-27
432 m²,4 PN,6 WC,81000000000,"Biệt thự, Villa",2025-06-27
116 m²,2 PN,1 WC,9500000000,Nhà mặt tiền,2025-06-27
50 m²,3 PN,3 WC,8250000000,Nhà mặt tiền,2025-06-27
"64,2 m²",,,4200000000,"Nhà hẻm, ngõ",2025-06-27
142 m²,11 PN,10 WC,15000000000,Nhà mặt tiền,2025-06-27
230 m²,2 PN,2 WC,22000000000,"Biệt thự, Villa",2025-06-27
33 m²,2 PN,1 WC,5250000000,"Nhà hẻm, ngõ",2025-06-27
"86,8 m²",7 PN,8 WC,24500000000,Nhà mặt tiền,2025-06-27
95 m²,,,2600000000,"Nhà hẻm, ngõ",2025-06-27
"44,1 m²",5 PN,6 WC,29000000000,Nhà mặt tiền,2025-06-27
"104,4 m²",,,19800000000,"Đất dự án, Khu dân cư",2025-06-27
71 m²,,,3100000000,Đất thổ cư,2025-06-27
40 m²,6 PN,6 WC,6900000000,"Nhà hẻm, ngõ",2025-06-27
60 m²,4 PN,5 WC,7400000000,"Nhà hẻm, ngõ",2025-06-27
45 m²,4 PN,4 WC,8950000000,"Nhà hẻm, ngõ",2025-06-27
31 m²,,,5200000000,"Nhà hẻm, ngõ",2025-06-27
750 m²,,,9800000000,Đất thổ cư,2025-06-27
"43,5 m²",,,3100000000,Đất thổ cư,2025-06-27
60 m²,5 PN,6 WC,11900000000,"Nhà hẻm, ngõ",2025-06-27
98 m²,,,4500000000,Đất thổ cư,2025-06-27
"28,2 m²",,,6800000000,"Nhà hẻm, ngõ",2025-06-27
51 m²,,,8160000000,"Nhà hẻm, ngõ",2025-06-27
65 m²,3 PN,3 WC,2312000000,"Nhà hẻm, ngõ",2025-06-27
80 m²,,,1600000000,"Nhà hẻm, ngõ",2025-06-27
"4.693,9 m²",,,730000000000,Nhà mặt tiền,2025-06-27
399 m²,,,810000000000,Nhà mặt tiền,2025-06-27
62 m²,10 PN,10 WC,22500000000,Nhà mặt tiền,2025-06-27
57 m²,9 PN,8 WC,11600000000,"Nhà hẻm, ngõ",2025-06-27
"64,5 m²",4 PN,,16500000000,"Nhà hẻm, ngõ",2025-06-27
"227,2 m²",,,470000000000,Nhà mặt tiền,2025-06-27
840 m²,,,390000000000,Nhà mặt tiền,2025-06-27
80 m²,6 PN,4 WC,55000000000,Nhà mặt tiền,2025-06-27
32 m²,,,5900000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,,,31000000000,"Nhà hẻm, ngõ",2025-06-27
"80,5 m²",,,12600000000,"Nhà hẻm, ngõ",2025-06-27
142 m²,,,15500000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,,,18000000000,Nhà mặt tiền,2025-06-27
50 m²,3 PN,1 WC,2580000000,"Tập thể, cư xá",2025-06-27
282 m²,,,495000000,Đất thổ cư,2025-06-27
40 m²,2 PN,4 WC,5300000000,"Nhà hẻm, ngõ",2025-06-27
31 m²,3 PN,3 WC,4750000000,"Nhà hẻm, ngõ",2025-06-27
146 m²,,,38000000000,Nhà mặt tiền,2025-06-27
30 m²,,,5500000000,"Nhà hẻm, ngõ",2025-06-27
30 m²,4 PN,3 WC,13300000000,Nhà mặt tiền,2025-06-27
