Product_Name,Product_Link,New_Price,Old_Price,screen_size,cpu,os,internal_storage,ram,battery_capacity,color,product_condition,brand,main_camera,selfie_camera,resolution,fast_charging
Samsung Galaxy Z Flip6 (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-z-flip-6-512gb.html,24.490.000 ₫,32.990.000 ₫,"Màn ngoài: 3,4 inch - Màn Trong: 6,7 inch",Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",512GB,12GB,"4000 mAh,","Yellow, Silver Shadow, Mint, Blue",New,Samsung,50MP - 12MP,10MP,1080 x 2640 pixels,25W
Xiaomi Redmi 13C 4GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-13c.html,2.490.000 ₫,3.590.000 ₫,6.74 inches,Mediatek MT6769Z Helio G85 (12nm),"Android 13, MIUI 14",128GB,4GB,5000mAh,"Black, Blue, Green",New,Xiaomi,50MP - 2MP - 0.08MP,13MP,720 x 1600 pixels,18W
iPhone 15 Pro Max 512GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-pro-max-512gb.html,30.990.000 ₫,45.990.000 ₫,,,,,,,,,,,,,
iPhone 15 Pro Max 256GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-pro-max-vna-tang-bh-roi-vo-vao-nuoc.html,,,6.7 inches,A17 Pro,iOS 17,256 GB,8 GB,4422 mAh,,,,"Camera chính: 48MP, 24 mm, ƒ/1.78, Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2","12MP, ƒ/1.9",2796 x 1290-pixel,
Samsung Galaxy Z Fold5 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-z-fold5-12gb-512gb-chinh-hang.html,24.990.000 ₫,44.990.000 ₫,7.6 inches,Snapdragon 8 Gen 2 for Galaxy,"Android 13, One UI 5.1",512GB,12 GB,4400mAh,"Blue,Black,Cream",new,Samsung,50MP - 12MP - 12MP,10MP (bên ngoài) + 4MP (dưới màn hình),1812 x 2176 pixels,Sạc nhanh 25W
Samsung Galaxy Z Fold5 12GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-z-fold5-12gb-256gb-chinh-hang.html,24.990.000 ₫,40.990.000 ₫,7.6 inches,Snapdragon 8 Gen 2 for Galaxy,"Android 13, One UI 5.1",256 GB,12 GB,4400mAh,"Blue,Black,Cream",new,Samsung,50MP - 12MP - 12MP,10MP (bên ngoài) + 4MP (dưới màn hình),1812 x 2176 pixels,Sạc nhanh 25W
iPhone 11 64GB chính hãng VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/apple-iphone-11-64gb-chinh-hang-vn-a.html,8.790.000 ₫,14.990.000 ₫,6.1 inch,Apple A13 Bionic (7 nm+),iOS 13,64 GB,4 GB,Li-Ion 3110mAh,"Purple,Green,Yellow,Black,White",new,,Dual 12 MP,12 MP,828 x 1792 pixels,
iPhone 11 128GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/apple-iphone-11-128gb-chinh-hang-vn-a.html,9.490.000 ₫,21.690.000 ₫,6.1 inch,Apple A13 Bionic (7 nm+),iOS 13,128 GB,4 GB,Li-Ion 3110mAh,"Yellow,Black,White,Green,Purple,Red",new,,Dual 12 MP,12 MP,828 x 1792 pixels,
iPhone 12 64GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a.html,9.990.000 ₫,14.990.000 ₫,6.1 inch,Apple A14 Bionic (5nm),iOS 14,64 GB,4 GB,Li-Ion 2815 mAh,"Blue,Green,Red,White,Black,Purple",new,,Dual 12 MP,12 MP,1170 x 2532 pixels,
iPhone 12 128GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a.html,10.990.000 ₫,21.600.000 ₫,6.1 inch,Apple A14 Bionic (5nm),iOS 14,128 GB,4 GB,Li-Ion 2815 mAh,"Black,Blue,Green,Red,White,Purple",new,,Dual 12 MP,12 MP,1170 x 2532 pixels,
