Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
72 m²,,,13000000000,"Nhà hẻm, ngõ",2025-06-18
"50,3 m²",4 PN,5 WC,3150000000,"Nhà hẻm, ngõ",2025-06-18
"48,9 m²",4 PN,5 WC,3050000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,3 PN,3 WC,2500000000,"Nhà hẻm, ngõ",2025-06-18
30 m²,3 PN,,7900000000,"Nhà hẻm, ngõ",2025-06-18
678 m²,,,192000000000,Nhà mặt tiền,2025-06-18
48 m²,3 PN,3 WC,3450000000,"Nhà hẻm, ngõ",2025-06-18
48 m²,2 PN,3 WC,1750000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,5 PN,3 WC,9500000000,Nhà mặt tiền,2025-06-18
170 m²,,,29000000000,Nhà mặt tiền,2025-06-18
100 m²,,,18500000000,Nhà mặt tiền,2025-06-18
56 m²,3 PN,2 WC,5600000000,"Nhà hẻm, ngõ",2025-06-18
43 m²,3 PN,2 WC,5700000000,"Nhà hẻm, ngõ",2025-06-18
"57,1 m²",,,17000000000,"Nhà hẻm, ngõ",2025-06-18
55 m²,2 PN,2 WC,1910000000,Chung cư,2025-06-18
32 m²,5 PN,4 WC,6500000000,"Nhà hẻm, ngõ",2025-06-18
