Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
Vivo IQOO Z9 Turbo Plus 12GB 256GB Box - Bảo hành 15 Tháng,"7,590,000 ₫","10,990,000 ₫",29%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(29 đánh giá),https://clickbuy.com.vn/vivo-iqoo-z9-turbo-plus.html
TCL 40SE 6GB 256GB - 1 Đổi 1 12 Tháng,"2,890,000 ₫","3,990,000 ₫",28%,,(0 đánh giá),https://clickbuy.com.vn/tcl-40se.html
Vivo IQOO Z9 Turbo 2025 (5G) Box - Bảo hành 15 Tháng,"6,490,000 ₫","9,290,000 ₫",28%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(54 đánh giá),https://clickbuy.com.vn/vivo-iqoo-z9-turbo-endurance-edition-2025-5g-box.html
HONOR X6b 6GB 128GB Chính hãng,"3,290,000 ₫","3,990,000 ₫",18%,,(13 đánh giá),https://clickbuy.com.vn/honor-x6b-chinh-hang.html
Vivo IQOO Neo 9S Pro Plus (5G) 12GB 256GB Box - Bảo hành 15 tháng,"8,390,000 ₫","10,950,000 ₫",23%,,(19 đánh giá),https://clickbuy.com.vn/vivo-iqoo-neo-9s-pro-plus-5g-box.html
Vivo X200 Pro (5G) Box - Bảo hành 15 tháng,"17,790,000 ₫","22,690,000 ₫",20%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(13 đánh giá),https://clickbuy.com.vn/vivo-x200-pro-box.html
Vivo IQOO Neo 9S Pro (5G) 12GB 256GB Box - Bảo hành 15 tháng,"9,490,000 ₫","10,950,000 ₫",13%,,(24 đánh giá),https://clickbuy.com.vn/vivo-iqoo-neo-9s-pro-box.html
Infinix HOT 40i (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"2,390,000 ₫","3,190,000 ₫",25%,,(62 đánh giá),https://clickbuy.com.vn/infinix-hot-40i-chinh-hang.html
Infinix HOT 40 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"3,390,000 ₫","4,290,000 ₫",21%,,(62 đánh giá),https://clickbuy.com.vn/infinix-hot-40-pro-chinh-hang.html
Vivo IQOO Neo 10 12GB 256GB Box - Bảo hành 15 tháng ,"8,190,000 ₫","10,990,000 ₫",25%,,(29 đánh giá),https://clickbuy.com.vn/vivo-iqoo-neo-10-box.html
